"Generation"	"mean.ne"	"l.95"	"u.95"	"pop"
"267"	67	19682.917	15630.3775	34625.8075	"LAO"
"268"	68	19111.787	15382.3475	34488.8225	"LAO"
"269"	69	18638.322	15228.0275	32627.4175	"LAO"
"270"	70	18233.563	15153.27	31833.515	"LAO"
"271"	71	17871.267	14957.8325	30697.0275	"LAO"
"272"	72	17583.823	14718.5325	28992.915	"LAO"
"273"	73	17281.273	14605.6725	27229.4025	"LAO"
"274"	74	17021.225	14550.17	25334.67	"LAO"
"275"	75	16763.743	14457.75	23447.3925	"LAO"
"276"	76	16520.519	14305.1125	22551.68	"LAO"
"277"	77	16272.386	14117.0525	21655.0725	"LAO"
"278"	78	16030.372	13937.395	21326.44	"LAO"
"279"	79	15825.265	13865.6275	20878.225	"LAO"
"280"	80	15609.346	13742.125	19710.65	"LAO"
"281"	81	15389.345	13618.7025	19356.8125	"LAO"
"282"	82	15221.053	13489.3075	18806.205	"LAO"
"283"	83	15060.821	13480.3625	17933.715	"LAO"
"284"	84	14959.885	13491.555	17774.8925	"LAO"
"285"	85	14861.394	13390.3875	17335.855	"LAO"
"286"	86	14755.191	13420.8275	16592.335	"LAO"
"287"	87	14639.668	13288.56	16188.4225	"LAO"
"288"	88	14545.121	13004.3575	16037.9375	"LAO"
"289"	89	14437.648	13041.08	15928.075	"LAO"
"290"	90	14345.615	12987.465	15691.6325	"LAO"
"291"	91	14242.569	12881.6825	15491.7525	"LAO"
"292"	92	14154.819	12797.5375	15421.3875	"LAO"
"293"	93	14087.468	12625.6575	15428.2325	"LAO"
"294"	94	14026.924	12418.0525	15292.2775	"LAO"
"295"	95	13947.851	12081.4875	15424.52	"LAO"
"296"	96	13873.724	12088.27	15425.19	"LAO"
"297"	97	13815.661	12223.57	15416.8275	"LAO"
"298"	98	13753.618	12262.675	15326.9575	"LAO"
"299"	99	13693.08	12263.32	15170.19	"LAO"
"300"	100	13646.982	12157.39	15057.94	"LAO"
"301"	1	11812.5253	8804.13575	14990.69	"LAE"
"302"	2	11812.5253	8804.13575	14990.69	"LAE"
"303"	3	11812.5253	8804.13575	14990.69	"LAE"
"304"	4	11812.5253	8804.13575	14990.69	"LAE"
"305"	5	16008.764	13346.0225	22164.535	"LAE"
